Dataset di provenienza;tipo_metafora;testo;etichetta;argomento;veicolo;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'ideale è un granito;1;ideale;granito;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel taschino è una banca;1;taschino;banca;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel pubblico è un'antenna;1;pubblico;antenna;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel pigiama è un termosifone;1;pigiama;termosifone;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'aguzzino è un avvoltoio;1;aguzzino;avvoltoio;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'emicrania è un trapano;1;emicrania;trapano;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella mente è un rebus;1;mente;rebus;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel naso è un tartufo;1;naso;tartufo;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel postino è un cronometro;1;postino;cronometro;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'archivio è una miniera;1;archivio;miniera;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella locomotiva è un drago;1;locomotiva;drago;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella donna è una vipera;1;donna;vipera;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel marinaio è un orso;1;marinaio;orso;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella canzone è un telegramma;1;canzone;telegramma;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella ruga è un burrone;1;ruga;burrone;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'amore è un fulmine;1;amore;fulmine;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'atleta è una statua;1;atleta;statua;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel dilemma è un puzzle;1;dilemma;puzzle;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel vestito è una tenda;1;vestito;tenda;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella camera è una discarica;1;camera;discarica;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella famiglia è una gabbia;1;famiglia;gabbia;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel lago è un cristallo;1;lago;cristallo;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel sorriso è una stella;1;sorriso;stella;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel progresso è un treno;1;progresso;treno;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella neve è un sorbetto;1;neve;sorbetto;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella faccenda è una matassa;1;faccenda;matassa;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella pelle è una porcellana;1;pelle;porcellana;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel prato è un velluto;1;prato;velluto;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel neonato è un bambolotto;1;neonato;bambolotto;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella moda è un'onda;1;moda;onda;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quello strozzino è un cannibale;1;strozzino;cannibale;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel mento è un precipizio;1;mento;precipizio;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel viso è una seta;1;viso;seta;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel ginnasta è un burattino;1;ginnasta;burattino;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella ballerina è una libellula;1;ballerina;libellula;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel ricordo è un'essenza;1;ricordo;essenza;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella nebbia è un muro;1;nebbia ;muro;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella curiosità è un acido;1;curiosità;acido;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella maestra è una ricotta;1;maestra;ricotta;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella memoria è un registratore;1;memoria;registratore;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella filosofia è una bussola;1;filosofia;bussola;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel foglio è una lama;1;foglio;lama;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quello spettacolo è una bomba;1;spettacolo;bomba;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel ricordo è una cicatrice;1;ricordo;cicatrice;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella discussione è una guerra;1;discussione;guerra;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'incombenza è una piaga;1;incombenza;piaga;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella ragazza è una tavola;1;ragazza;tavola;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella vettura è una scheggia;1;vettura;scheggia;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'alunno è una spugna;1;alunno;spugna;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quello studente è un pappagallo;1;studente;pappagallo;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'orecchio è una padella;1;orecchio;padella;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'abbraccio è un guscio;1;abbraccio;guscio;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella fantasia è un arcobaleno;1;fantasia;arcobaleno;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel sole è un forno;1;sole;forno;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella mano è una grattugia;1;mano;grattugia;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel discorso è un massaggio;1;discorso;massaggio;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel canale è una fogna;0;canale;fogna;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella costruzione è una diga ;0;costruzione;diga;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel veicolo è un carrarmato;0;veicolo;carrarmato;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'animaletto è una zecca;0;animaletto;zecca;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel predatore è un leone;0;predatore;leone;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'arbusto è un cespuglio;0;arbusto;cespuglio;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella crema è un balsamo;0;crema;balsamo;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel bocciolo è una rosa;0;bocciolo;rosa;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel farmaco è un sonnifero;0;farmaco;sonnifero;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel soldato è un cecchino;0;soldato;cecchino;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella bevanda è una camomilla;0;bevanda;camomilla;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel movimento è un terremoto;0;movimento;terremoto;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella pianta è una quercia;0;pianta;quercia;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella conchiglia è una madreperla;0;conchiglia;madreperla;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel dispositivo è una calamita;0;dispositivo;calamita;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel frutto è un peperoncino;0;frutto;peperoncino;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel liquido è una colla;0;liquido;colla;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella fila è una processione;0;fila;processione;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella preparazione è una marmellata;0;preparazione;marmellata;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella pianticella è un'ortica;0;pianticella;ortica;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel mammifero è un gatto;0;mammifero;gatto;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella bacca è una fragola;0;bacca;fragola;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella caramella è una medicina;0;caramella;medicina;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel segnale è un faro;0;segnale;faro;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel quadrupede è una iena;0;quadrupede;iena;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella sostanza è una droga;0;sostanza;droga;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella pietra è un granito;0;pietra;granito;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel deposito è una banca;0;deposito;banca;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel congegno è un'antenna;0;congegno;antenna;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'impianto è un termosifone;0;impianto;termosifone;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel pennuto è un avvoltoio;0;pennuto;avvoltoio;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'attrezzo è un trapano;0;attrezzo;trapano;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel disegno è un rebus;0;disegno;rebus;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella squisitezza è un tartufo;0;squisitezza;tartufo;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel contatore è un cronometro;0;contatore;cronometro;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quello scavo è una miniera;0;scavo;miniera;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella belva è un drago;0;belva;drago;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel rettile è una vipera;0;rettile;vipera;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'animale è un orso;0;animale;orso;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel comunicato è un telegramma;0;comunicato;telegramma;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella valle è un burrone;0;valle;burrone;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel fenomeno è un fulmine;0;fenomeno;fulmine;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'opera è una statua;0;opera;statua;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel gioco è un puzzle;0;gioco;puzzle;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel drappo è una tenda;0;drappo;tenda;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella collina è una discarica;0;collina;discarica;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel contenitore è una gabbia;0;contenitore;gabbia;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel vetro è un cristallo;0;vetro;cristallo;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella luce è una stella;0;luce;stella;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel mezzo è un treno;0;mezzo;treno;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel dolce è un sorbetto;0;dolce;sorbetto;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel filo è una matassa;0;filo;matassa;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'impasto è una porcellana;0;impasto;porcellana;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel tessuto è un velluto;0;tessuto;velluto;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel giocattolo è un bambolotto;0;giocattolo;bambolotto;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella spuma è un' onda;0;spuma;onda;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'indigeno è un cannibale;0;indigeno;cannibale;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella discesa è un precipizio;0;discesa;precipizio;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella stoffa è una seta ;0;stoffa;seta;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel pupazzo è un burattino;0;pupazzo;burattino;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel volatile è una libellula;0;volatile;libellula;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel profumo è un'essenza;0;profumo;essenza;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel divisorio è un muro;0;divisorio;muro;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel composto è un acido;0;composto;acido;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel formaggio è una ricotta;0;formaggio;ricotta;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'apparecchio è un registratore;0;apparecchio;registratore;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'apparecchiatura è una bussola;0;apparecchiatura;bussola;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel ferro è una lama;0;ferro;lama;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'arma è una bomba;0;arma;bomba;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel segno è una cicatrice;0;segno ;cicatrice;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quello scontro è una guerra;0;scontro;guerra;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella ferita è una piaga;0;ferita;piaga;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella superficie è una tavola;0;superficie;tavola;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quel frammento è una scheggia;0;frammento;scheggia;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'accessorio è una spugna;0;accessorio;spugna;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'uccello è un pappagallo;0;uccello;pappagallo;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'arnese è una padella;0;arnese;padella;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'involucro è un guscio;0;involucro;guscio;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'arco è un arcobaleno;0;arco;arcobaleno;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quell'elettrodomestico è un forno;0;elettrodomestico;forno;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella lamiera è una grattugia;0;lamiera;grattugia;;;;;;;;;;
Dataset_Lago2024;Nominal predicative;Quella terapia è un massaggio;0;terapia;massaggio;;;;;;;;;;
Dataset_MoveMe;Predicate;Alice disegna il suo futuro con Alberto;1;futuro;disegna;;;;;;;;;;
Dataset_MoveMe;Predicate;Laura ricama il discorso con tanti dettagli;1;discorso;ricama;;;;;;;;;;
Dataset_MoveMe;Predicate;Guido timbra il passaggio all' età adulta ;1;passaggio;timbra;;;;;;;;;;
Dataset_MoveMe;Predicate;Gaia rammenda i rapporti con i genitori;1;rapporto;rammenda;;;;;;;;;;
Dataset_MoveMe;Predicate;Il giornalista accende l'interesse di Luca;1;interesse;accende;;;;;;;;;;
Dataset_MoveMe;Predicate;Il professore apre la mente degli alunni;1;mente;apre;;;;;;;;;;
Dataset_MoveMe;Predicate;Il laureato chiude un capitolo della sua vita;1;capitolo;chiude;;;;;;;;;;
Dataset_MoveMe;Predicate;Matilde getta la tristezza alle spalle;1;tristezza;getta;;;;;;;;;;
Dataset_MoveMe;Predicate;Il carabiniere monta gli indizi del delitto;1;indizio;monta;;;;;;;;;;
Dataset_MoveMe;Predicate;La nonna attacca i ricordi nella memoria;1;ricordo;attacca;;;;;;;;;;
Dataset_MoveMe;Predicate;Lo scienziato spacca il problema nei dettagli;1;problema;spacca;;;;;;;;;;
Dataset_MoveMe;Predicate;Il cacciatore rompe la quiete del bosco;1;quiete;rompe;;;;;;;;;;
Dataset_MoveMe;Predicate;Monica butta le speranze nel dimenticatoio;1;speranza;butta;;;;;;;;;;
Dataset_MoveMe;Predicate;Vittorio spezza la noia con un film;1;noia;spezza;;;;;;;;;;
Dataset_MoveMe;Predicate;L'avvocato tocca il centro della questione;1;centro;tocca;;;;;;;;;;
Dataset_MoveMe;Predicate;Il politico trita le idee degli avversari;1;idea;trita;;;;;;;;;;
Dataset_MoveMe;Predicate;Annalisa scava i segreti dell'animo ;1;segreto;scava;;;;;;;;;;
Dataset_MoveMe;Predicate;Marcella colpisce il cuore del suo fidanzato;1;cuore;colpisce;;;;;;;;;;
Dataset_MoveMe;Predicate;Antonio solleva il dolore del suo amico;1;dolore;solleva;;;;;;;;;;
Dataset_MoveMe;Predicate;Alessandro versa le energie nello studio;1;energia;versa;;;;;;;;;;
Dataset_MoveMe;Predicate;Il poliziotto strappa una confessione al ladro;1;confessione;strappa;;;;;;;;;;
Dataset_MoveMe;Predicate;Elisa spazza i problemi con decisione;1;problema;spazza;;;;;;;;;;
Dataset_MoveMe;Predicate;Anna raccoglie le confidenze dell' amica;1;confidenza;raccoglie;;;;;;;;;;
Dataset_MoveMe;Predicate;Sara sciacqua la coscienza con la beneficienza;1;coscienza;sciacqua;;;;;;;;;;
Dataset_MoveMe;Predicate;Il giudice addita le colpe degli imputati;1;colpa;addita;;;;;;;;;;
Dataset_MoveMe;Predicate;Il dirigente cuce nuovi rapporti di lavoro;1;rapporto;cuce;;;;;;;;;;
Dataset_MoveMe;Predicate;Il giovane coglie l' opportunità con entusiasmo;1;opportunità;coglie;;;;;;;;;;
Dataset_MoveMe;Predicate;L' inventore sfoglia le idee nella sua testa;1;idea;sfoglia;;;;;;;;;;
Dataset_MoveMe;Predicate;Silvia afferra l' intuizione del collega;1;intuizione;afferra;;;;;;;;;;
Dataset_MoveMe;Predicate;La madre costruisce la personalità del figlio;1;personalità;costruisce;;;;;;;;;;
Dataset_MoveMe;Predicate;Adele calpesta i sogni della figlia ;1;sogno;calpesta;;;;;;;;;;
Dataset_MoveMe;Predicate;Carlo calcia le critiche degli invidiosi ;1;critica;calcia;;;;;;;;;;
Dataset_MoveMe;Predicate;L' architetto saltella da un' idea all' altra ;1;architetto;saltella;;;;;;;;;;
Dataset_MoveMe;Predicate;Lo studente zoppica verso l' esame di storia;1;studente;zoppica;;;;;;;;;;
Dataset_MoveMe;Predicate;Lisa corre verso l' amore con ingenuità;1;Lisa;corre;;;;;;;;;;
Dataset_MoveMe;Predicate;Il nonno cammina tra i ricordi d' infanzia;1;nonno;cammina;;;;;;;;;;
Dataset_MoveMe;Predicate;L' imprenditore segue l' istinto con decisione;1;istinto;segue;;;;;;;;;;
Dataset_MoveMe;Predicate;Aldo fugge dagli obblighi del matrimonio;1;Aldo;fugge;;;;;;;;;;
Dataset_MoveMe;Predicate;Marco percorre il destino del campione;1;destino;percorre;;;;;;;;;;
Dataset_MoveMe;Predicate;Sofia attraversa le difficoltà con coraggio;1;difficoltà;attraversa;;;;;;;;;;
Dataset_MoveMe;Predicate;Mario arriva alla decisione con fatica;1;Mario;arriva;;;;;;;;;;
Dataset_MoveMe;Predicate;Il paziente salta l' appuntamento con il dottore;1;appuntamento;salta;;;;;;;;;;
Dataset_MoveMe;Predicate;Marta giunge alla conclusione del discorso;1;Marta;giunge;;;;;;;;;;
Dataset_MoveMe;Predicate;Il critico entra nella discussione con foga;1;critico;entra;;;;;;;;;;
Dataset_MoveMe;Predicate;Luigi avanza tra i problemi della vita;1;Luigi;avanza;;;;;;;;;;
Dataset_MoveMe;Predicate;Giorgio passa dalla gioia alla disperazione ;1;Giorgio;passa;;;;;;;;;;
Dataset_MoveMe;Predicate;L' uomo raggiunge la felicità per un istante;1;felicità;raggiunge;;;;;;;;;;
Dataset_MoveMe;Predicate;La vicina scende nei particolari della storia;1;vicina;scende;;;;;;;;;;
Dataset_MoveMe;Predicate;Mara inciampa negli imprevisti della vita;1;Mara;inciampa;;;;;;;;;;
Dataset_MoveMe;Predicate;Nino esce dall' ossessione delle scommesse;1;Nino;esce;;;;;;;;;;
Dataset_MoveMe;Predicate;Lo psicologo perlustra l' animo del paziente;1;animo;perlustra;;;;;;;;;;
Dataset_MoveMe;Predicate;L' adolescente girovaga nei sogni di successo;1;adolescente;girovaga;;;;;;;;;;
Dataset_MoveMe;Predicate;L' operaio arranca verso la paga di fine-mese;1;operaio;arranca;;;;;;;;;;
Dataset_MoveMe;Predicate;Elena scivola sulla domanda di filosofia;1;Elena;scivola;;;;;;;;;;
Dataset_MoveMe;Predicate;Il padre sgattaiola dall' impegno dei figli;1;padre;sgattaiola;;;;;;;;;;
Dataset_MoveMe;Predicate;Luca scappa dalla realtà con la meditazione;1;Luca;scappa;;;;;;;;;;
Dataset_MoveMe;Predicate;L' artista pedala sull' ispirazione del momento;1;artista;pedala;;;;;;;;;;
Dataset_MoveMe;Predicate;Il direttore pesta i diritti dei lavoratori;1;diritto;pesta;;;;;;;;;;
Dataset_MoveMe;Predicate;Franco scalcia i rimorsi di coscienza;1;rimorso;scalcia;;;;;;;;;;
Dataset_MoveMe;Predicate;La ragazza passeggia tra le pagine del diario;1;ragazza;passeggia;;;;;;;;;;
Dataset_MoveMe;Predicate;Il figlio disegna un ritratto della mamma;0;ritratto;disegna;;;;;;;;;;
Dataset_MoveMe;Predicate;La signora ricama un centrino all' uncinetto;0;centrino;ricama;;;;;;;;;;
Dataset_MoveMe;Predicate;Il dottore timbra la ricetta del paziente;0;ricetta;timbra;;;;;;;;;;
Dataset_MoveMe;Predicate;Gianna rammenda i pantaloni del marito;0;pantalone;rammenda;;;;;;;;;;
Dataset_MoveMe;Predicate;Federica accende la televisione in cucina;0;televisione;accende;;;;;;;;;;
Dataset_MoveMe;Predicate;Francesca apre la finestra della camera;0;finestra;apre;;;;;;;;;;
Dataset_MoveMe;Predicate;Maurizio chiude il portone dell' ingresso;0;portone;chiude;;;;;;;;;;
Dataset_MoveMe;Predicate;Matteo getta l' immondizia nel cassonetto;0;immondizia;getta;;;;;;;;;;
Dataset_MoveMe;Predicate;Giovanni monta il gioco secondo le istruzioni;0;gioco;monta;;;;;;;;;;
Dataset_MoveMe;Predicate;Il maestro attacca l' avviso alla bacheca;0;avviso;attacca;;;;;;;;;;
Dataset_MoveMe;Predicate;Il boscaiolo spacca il tronco con l' ascia;0;tronco;spacca;;;;;;;;;;
Dataset_MoveMe;Predicate;Giuseppe rompe il bicchiere di cristallo;0;bicchiere;rompe;;;;;;;;;;
Dataset_MoveMe;Predicate;Camilla butta la confezione nella spazzatura;0;confezione;butta;;;;;;;;;;
Dataset_MoveMe;Predicate;Il commensale spezza il pane sul tavolo;0;pane;spezza;;;;;;;;;;
Dataset_MoveMe;Predicate;Tommaso tocca la neve per la prima volta;0;neve;tocca;;;;;;;;;;
Dataset_MoveMe;Predicate;Il cuoco trita la cipolla con il coltello;0;cipolla;trita;;;;;;;;;;
Dataset_MoveMe;Predicate;Il ragazzino scava la buca nella sabbia;0;buca;scava;;;;;;;;;;
Dataset_MoveMe;Predicate;Pietro colpisce il rivale con un pugno;0;rivale;colpisce;;;;;;;;;;
Dataset_MoveMe;Predicate;Teresa solleva la valigia dal carrello;0;valigia;solleva;;;;;;;;;;
Dataset_MoveMe;Predicate;Il barista versa il succo nel bicchiere;0;succo;versa;;;;;;;;;;
Dataset_MoveMe;Predicate;il controllore strappa i biglietti d' ingresso;0;biglietti;strappa;;;;;;;;;;
Dataset_MoveMe;Predicate;La cameriera spazza per terra con la scopa;0;cameriera;spazza;;;;;;;;;;
Dataset_MoveMe;Predicate;Valentina raccoglie le margherite dal prato;0;margherita;raccoglie;;;;;;;;;;
Dataset_MoveMe;Predicate;La cuoca sciacqua l' insalata nella bacinella;0;insalata;sciacqua;;;;;;;;;;
Dataset_MoveMe;Predicate;Il bimbo addita il giocattolo in vetrina;0;giocattolo;addita;;;;;;;;;;
Dataset_MoveMe;Predicate;Virginia cuce il vestito per la cerimonia;0;vestito;cuce;;;;;;;;;;
Dataset_MoveMe;Predicate;Annamaria coglie i tulipani per il bouquet;0;tulipano;coglie;;;;;;;;;;
Dataset_MoveMe;Predicate;L' alunno sfoglia il sussidiario di geografia;0;sussidiario;sfoglia;;;;;;;;;;
Dataset_MoveMe;Predicate;Il bambino afferra la mano del padre;0;mano;afferra;;;;;;;;;;
Dataset_MoveMe;Predicate;Roberto costruisce un capanno per gli attrezzi;0;capanno;costruisce;;;;;;;;;;
Dataset_MoveMe;Predicate;Alessandro calpesta la coda del gatto;0;coda;calpesta;;;;;;;;;;
Dataset_MoveMe;Predicate;Il giocatore calcia il pallone con forza;0;pallone;calcia;;;;;;;;;;
Dataset_MoveMe;Predicate;La bambina saltella da un sasso all' altro;0;bambina;saltella;;;;;;;;;;
Dataset_MoveMe;Predicate;Il ferito zoppica verso l' ospedale da campo;0;ferito;zoppica;;;;;;;;;;
Dataset_MoveMe;Predicate;Francesca corre verso casa con il cane;0;Francesca;corre;;;;;;;;;;
Dataset_MoveMe;Predicate;L' alpinista cammina tra i cespugli del bosco ;0;alpinista;cammina;;;;;;;;;;
